Volume	water	STD1	STD 3	Sample
16.567		119.859	2218.8	2930.73
16.583		114.863	2295.16	2905.3
16.600		112.091	2372.94	2892.28
16.617		109.798	2447.19	2879.98
16.633		108.652	2518.58	2867.69
16.650		106.287	2587.06	2854.99
16.667		103.915	2656.49	2841.62
16.683		99.3657	2721.2	2827.16
16.700		97.3515	2781.68	2811.66
16.717		93.3406	2835.58	2794.71
16.733		90.753	2888.88	2765.45
16.750		87.9279	2938.78	2750.16
16.767		86.8071	2983.98	2734.09
16.783		84.935	3064.62	2718.56
16.800		81.2584	3097.75	2702.49
16.817		79.4952	3125.17	2685.56
16.833		76.7018	3148.39	2668.19
16.850		72.3953	3167.2	2651.56
16.867		69.9436	3179.99	2635.09
16.883		69.2398	3186.11	2618.02
16.900		67.7386	3188.58	2586.0
16.917		66.2912	3184.5	2568.95
16.933		62.0978	3176.42	2550.88
16.950		59.7264	3164.47	2534.19
16.967		56.1077	3145.85	2517.47
16.983		55.3971	3121.69	2499.21
17.000		53.9366	3092.39	2481.45
17.017		51.5172	3016.19	2464.56
17.033		47.767	2972.02	2447.39
17.050		45.714	2924.11	2411.0
17.067		43.9638	2870.26	2392.75
17.083		42.9569	2811.84	2375.06
17.100		41.3728	2752.03	2357.13
17.117		39.4268	2688.87	2338.96
17.133		38.071	2621.72	2320.76
17.150		38.5753	2551.52	2303.05
17.167		38.5688	2480.63	2285.85
17.183		36.5302	2406.79	2266.49
17.200		36.4842	2329.3	2246.76
17.217		34.7425	2250.3	2210.68
17.233		33.5669	2170.65	2192.31
17.250		33.8105	2008.7	2174.76
17.267		32.2053	1928.86	2156.77
17.283		29.6792	1848.68	2137.12
17.300		28.0384	1770.05	2117.38
17.317		28.8197	1689.57	2099.52
17.333		25.4206	1612.64	2081.71
17.350		23.3787	1534.69	2063.3
17.367		24.6306	1457.83	2045.57
17.383		24.0905	1385.78	2008.78
17.400		22.6679	1315.32	1989.29
17.417		23.0135	1244.87	1970.89
17.433		23.4284	1177.23	1951.94
17.450		24.1385	1112.55	1934.03
17.467		25.028	986.01	1916.99
17.483		22.903	926.285	1899.27
17.500		22.8041	869.778	1882.8
17.517		24.289	816.187	1865.8
17.533		23.6255	766.228	1831.13
17.550		22.8101	716.43	1814.13
17.567		21.9878	669.461	1796.92
17.583		21.0652	625.054	1777.84
17.600		19.067	582.643	1758.37
17.617		18.2692	542.138	1740.38
17.633		17.6137	504.015	1723.36
17.650		17.3328	469.081	1706.44
17.667		17.066	436.841	1689.31
17.683		16.2678	404.253	1672.15
17.700		16.4892	348.395	1637.34
17.717		16.8623	323.308	1618.71
17.733		17.0965	300.775	1601.24
17.750		16.9652	279.092	1585.01
17.767		15.9093	258.93	1567.8
17.783		14.527	240.253	1551.01
17.800		13.4265	223.898	1535.04
17.817		13.2204	207.57	1518.53
17.833		11.6972	193.698	1502.42
17.850		13.0392	182.115	1470.89
17.867		11.7454	171.776	1455.08
17.883		11.4351	161.474	1438.98
17.900		12.4303	152.467	1423.58
17.917		13.0379	135.091	1408.1
17.933		11.2143	128.766	1394.22
17.950		10.633	123.811	1380.44
17.967		9.96764	117.617	1364.62
17.983		10.401	113.161	1349.31
18.000		9.40799	106.938	1334.32
18.017		10.8413	101.932	1303.88
18.033		9.33724	99.4328	1288.83
18.050		8.61702	95.6896	1273.65
18.067		8.30989	94.6105	1259.22
18.083		7.85777	92.9834	1245.0
18.100		8.7537	92.3168	1231.01
18.117		8.49933	91.6588	1216.38
18.133		7.68153	90.838	1202.12
18.150		7.45193	93.3098	1188.66
18.167		7.26323	96.0148	1162.41
18.183		7.44068	96.9133	1149.08
18.200		6.20237	100.484	1134.81
18.217		6.83658	104.429	1119.55
18.233		6.82039	109.672	1104.46
18.250		5.89768	114.886	1091.41
18.267		7.06076	121.266	1078.14
18.283		7.35281	127.89	1064.47
18.300		7.72167	135.672	1050.3
18.317		7.09232	144.914	1037.39
18.333		5.76618	153.756	1013.57
18.350		6.30241	166.24	1000.49
18.367		6.47444	179.976	986.229
18.383		7.62332	210.33	973.492
18.400		6.2843	229.658	961.481
18.417		4.97596	250.326	949.656
18.433		6.36612	273.513	936.856
18.450		6.88501	297.089	923.7
18.467		6.37	325.604	911.801
18.483		5.9764	354.35	900.366
18.500		5.43887	384.398	878.901
18.517		5.86328	418.905	868.238
18.533		7.33242	455.994	856.654
18.550		9.44031	494.889	845.737
18.567	0.0	8.06431	534.626	836.202
18.583	0.0042941	5.84159	576.697	827.719
18.600	0.111651	5.90936	621.61	817.855
18.617	0.735894	7.45301	721.978	806.596
18.633	0.0	6.90409	777.05	796.023
18.650	0.0	5.58439	833.07	775.182
18.667	0.0	6.07329	890.801	765.363
18.683	0.0	9.53011	952.957	755.037
18.700	0.0	10.8784	1016.16	744.513
18.717	0.0	9.59895	1083.14	733.762
18.733	0.0	8.60541	1152.29	724.316
18.750	0.0	8.1645	1221.83	715.992
18.767	0.0	8.72223	1293.97	707.796
18.783	0.0	8.30191	1365.82	698.667
18.800	0.0	9.39056	1439.19	690.663
18.817	0.0	9.44806	1515.96	674.76
18.833	0.0	8.96575	1677.78	666.138
18.850	0.0	9.11662	1757.44	657.365
18.867	0.0	9.73599	1834.54	649.997
18.883	0.0	10.3501	1912.44	644.042
18.900	0.0	11.092	1990.29	636.423
18.917	0.0	10.6614	2071.75	628.368
