Volume	water	STD1	STD 3	Sample
8.700	-103.335	-3533.99	-3500.95	-3521.64
8.717	-103.737	-3534.58	-3502.27	-3521.11
8.733	-103.997	-3534.29	-3502.85	-3522.73
8.750	-104.762	-3535.42	-3502.17	-3521.92
8.767	-105.551	-3536.07	-3502.38	-3522.94
8.783	-106.427	-3535.31	-3503.05	-3521.94
8.800	-106.866	-3535.87	-3503.57	-3522.05
8.817	-107.201	-3536.31	-3503.73	-3521.88
8.833	-107.297	-3536.87	-3503.72	-3522.0
8.850	-107.268	-3537.44	-3504.23	-3522.06
8.867	-107.089	-3536.4	-3504.05	-3522.12
8.883	-107.802	-3535.82	-3504.31	-3521.19
8.900	-109.794	-3534.81	-3504.5	-3520.68
8.917	-110.163	-3534.94	-3503.74	-3520.94
8.933	-109.074	-3537.2	-3503.48	-3520.07
8.950	-109.19	-3536.26	-3504.05	-3518.68
8.967	-110.308	-3535.73	-3505.31	-3518.58
