File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/676.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	water
Injection Number	36
Position	BA1
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	30-1-2020
Injection Time	20:57:56
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2.239250
Signal Max.	3.238400
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
63.475000	0.5	-2.091000
63.483333	0.5	-2.088000
63.491667	0.5	-2.089800
63.500000	0.5	-2.089450
63.508333	0.5	-2.088100
63.516667	0.5	-2.089250
63.525000	0.5	-2.090700
63.533333	0.5	-2.090400
63.541667	0.5	-2.090650
63.550000	0.5	-2.090800
63.558333	0.5	-2.090700
63.566667	0.5	-2.090850
63.575000	0.5	-2.091000
63.583333	0.5	-2.091200
63.591667	0.5	-2.091200
63.600000	0.5	-2.090600
63.608333	0.5	-2.090100
63.616667	0.5	-2.090200
63.625000	0.5	-2.092350
63.633333	0.5	-2.092500
63.641667	0.5	-2.092250
63.650000	0.5	-2.094650
63.658333	0.5	-2.094050
63.666667	0.5	-2.096250
63.675000	0.5	-2.095200
63.683333	0.5	-2.097150
63.691667	0.5	-2.095300
63.700000	0.5	-2.097800
63.708333	0.5	-2.097650
63.716667	0.5	-2.096600
63.725000	0.5	-2.097450
63.733333	0.5	-2.097000
63.741667	0.5	-2.098350
63.750000	0.5	-2.098250
63.758333	0.5	-2.098000
63.766667	0.5	-2.096950
63.775000	0.5	-2.098750
63.783333	0.5	-2.099800
63.791667	0.5	-2.100100
63.800000	0.5	-2.099800
63.808333	0.5	-2.101150
63.816667	0.5	-2.100600
63.825000	0.5	-2.100150
63.833333	0.5	-2.097500
63.841667	0.5	-2.098000
63.850000	0.5	-2.097900
63.858333	0.5	-2.098250
63.866667	0.5	-2.098550
63.875000	0.5	-2.101100
63.883333	0.5	-2.100100
63.891667	0.5	-2.100700
63.900000	0.5	-2.101850
63.908333	0.5	-2.100400
63.916667	0.5	-2.102300
63.925000	0.5	-2.103000
63.933333	0.5	-2.104400
63.941667	0.5	-2.107500
63.950000	0.5	-2.106650
63.958333	0.5	-2.108000
63.966667	0.5	-2.106300
63.975000	0.5	-2.107200
63.983333	0.5	-2.108800
63.991667	0.5	-2.108450
64.000000	0.5	-2.107450
64.008333	0.5	-2.106600
64.016667	0.5	-2.108100
64.025000	0.5	-2.107000
64.033333	0.5	-2.109650
64.041667	0.5	-2.110400
64.050000	0.5	-2.109850
64.058333	0.5	-2.109150
64.066667	0.5	-2.109350
64.075000	0.5	-2.109850
64.083333	0.5	-2.110050
64.091667	0.5	-2.109900
64.100000	0.5	-2.108950
64.108333	0.5	-2.110800
64.116667	0.5	-2.111100
64.125000	0.5	-2.110550
64.133333	0.5	-2.111100
64.141667	0.5	-2.112650
64.150000	0.5	-2.112800
64.158333	0.5	-2.113400
64.166667	0.5	-2.113100
64.175000	0.5	-2.114600
64.183333	0.5	-2.115200
64.191667	0.5	-2.114750
64.200000	0.5	-2.115950
64.208333	0.5	-2.118000
64.216667	0.5	-2.117750
64.225000	0.5	-2.116450
64.233333	0.5	-2.117300
64.241667	0.5	-2.118450
64.250000	0.5	-2.118850
64.258333	0.5	-2.118500
64.266667	0.5	-2.118900
64.275000	0.5	-2.117050
64.283333	0.5	-2.118550
64.291667	0.5	-2.120450
64.300000	0.5	-2.121650
64.308333	0.5	-2.120400
64.316667	0.5	-2.121300
64.325000	0.5	-2.122200
64.333333	0.5	-2.120800
64.341667	0.5	-2.120000
64.350000	0.5	-2.118700
64.358333	0.5	-2.119800
64.366667	0.5	-2.119550
64.375000	0.5	-2.119250
64.383333	0.5	-2.121250
64.391667	0.5	-2.121250
64.400000	0.5	-2.121000
64.408333	0.5	-2.121600
