File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/155.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St9
Injection Number	6
Position	BA5
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	29-1-2020
Injection Time	00:37:52
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.513650
Signal Max.	362.192705
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
60.308333	0.5	-1.294200
60.316667	0.5	-1.294200
60.325000	0.5	-1.295000
60.333333	0.5	-1.296400
60.341667	0.5	-1.298500
60.350000	0.5	-1.298550
60.358333	0.5	-1.298600
60.366667	0.5	-1.298750
60.375000	0.5	-1.299850
60.383333	0.5	-1.299150
60.391667	0.5	-1.298550
60.400000	0.5	-1.300000
60.408333	0.5	-1.301250
60.416667	0.5	-1.301800
60.425000	0.5	-1.301250
60.433333	0.5	-1.299900
60.441667	0.5	-1.299600
60.450000	0.5	-1.302100
60.458333	0.5	-1.302900
60.466667	0.5	-1.305350
60.475000	0.5	-1.303050
60.483333	0.5	-1.305350
60.491667	0.5	-1.304100
60.500000	0.5	-1.302750
60.508333	0.5	-1.301300
60.516667	0.5	-1.302100
60.525000	0.5	-1.301900
60.533333	0.5	-1.301100
60.541667	0.5	-1.301500
60.550000	0.5	-1.303500
60.558333	0.5	-1.303200
60.566667	0.5	-1.303700
60.575000	0.5	-1.303800
60.583333	0.5	-1.304850
60.591667	0.5	-1.304600
60.600000	0.5	-1.306350
60.608333	0.5	-1.310950
60.616667	0.5	-1.311450
60.625000	0.5	-1.309700
60.633333	0.5	-1.311500
60.641667	0.5	-1.310550
60.650000	0.5	-1.311100
60.658333	0.5	-1.311000
60.666667	0.5	-1.312250
60.675000	0.5	-1.311900
60.683333	0.5	-1.310900
60.691667	0.5	-1.309200
60.700000	0.5	-1.311400
60.708333	0.5	-1.312050
60.716667	0.5	-1.312500
60.725000	0.5	-1.313550
60.733333	0.5	-1.312550
60.741667	0.5	-1.311300
60.750000	0.5	-1.311250
60.758333	0.5	-1.309250
60.766667	0.5	-1.309750
60.775000	0.5	-1.310850
60.783333	0.5	-1.310750
60.791667	0.5	-1.311300
60.800000	0.5	-1.311400
60.808333	0.5	-1.311200
60.816667	0.5	-1.311000
60.825000	0.5	-1.311150
60.833333	0.5	-1.310050
60.841667	0.5	-1.311550
60.850000	0.5	-1.312400
60.858333	0.5	-1.313950
60.866667	0.5	-1.312900
60.875000	0.5	-1.311950
60.883333	0.5	-1.314250
60.891667	0.5	-1.313350
60.900000	0.5	-1.313850
60.908333	0.5	-1.314650
60.916667	0.5	-1.313200
60.925000	0.5	-1.312300
60.933333	0.5	-1.313700
60.941667	0.5	-1.313900
60.950000	0.5	-1.311550
60.958333	0.5	-1.313850
60.966667	0.5	-1.312250
60.975000	0.5	-1.312450
60.983333	0.5	-1.313700
60.991667	0.5	-1.311300
61.000000	0.5	-1.313400
61.008333	0.5	-1.309550
61.016667	0.5	-1.307350
61.025000	0.5	-1.308350
61.033333	0.5	-1.308950
61.041667	0.5	-1.308050
61.050000	0.5	-1.308100
61.058333	0.5	-1.308850
61.066667	0.5	-1.307650
61.075000	0.5	-1.309150
61.083333	0.5	-1.309200
61.091667	0.5	-1.306700
61.100000	0.5	-1.308900
61.108333	0.5	-1.308700
61.116667	0.5	-1.310650
61.125000	0.5	-1.310150
61.133333	0.5	-1.309700
