File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/264.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St7
Injection Number	4
Position	BA3
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	28-1-2020
Injection Time	21:40:31
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.515700
Signal Max.	1.026.175915
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
5.466667	0.5	0.470150
5.475000	0.5	0.459600
5.483333	0.5	0.448950
5.491667	0.5	0.442700
5.500000	0.5	0.437550
5.508333	0.5	0.432350
5.516667	0.5	0.428200
5.525000	0.5	0.427450
5.533333	0.5	0.424200
5.541667	0.5	0.422750
5.550000	0.5	0.419750
5.558333	0.5	0.416900
5.566667	0.5	0.417900
5.575000	0.5	0.416400
5.583333	0.5	0.416300
5.591667	0.5	0.414250
5.600000	0.5	0.418250
5.608333	0.5	0.417900
5.616667	0.5	0.418250
5.625000	0.5	0.417150
5.633333	0.5	0.417350
5.641667	0.5	0.416050
5.650000	0.5	0.414350
5.658333	0.5	0.415250
5.666667	0.5	0.413400
5.675000	0.5	0.413150
5.683333	0.5	0.411300
5.691667	0.5	0.410500
5.700000	0.5	0.410150
5.708333	0.5	0.406750
5.716667	0.5	0.408500
5.725000	0.5	0.409900
5.733333	0.5	0.408600
5.741667	0.5	0.406650
5.750000	0.5	0.407050
5.758333	0.5	0.410700
5.766667	0.5	0.410600
5.775000	0.5	0.412050
5.783333	0.5	0.410050
5.791667	0.5	0.414800
5.800000	0.5	0.417750
5.808333	0.5	0.416400
5.816667	0.5	0.419200
5.825000	0.5	0.421750
5.833333	0.5	0.424750
5.841667	0.5	0.424800
5.850000	0.5	0.427600
5.858333	0.5	0.433250
5.866667	0.5	0.433650
5.875000	0.5	0.435300
5.883333	0.5	0.437050
5.891667	0.5	0.437000
5.900000	0.5	0.436750
5.908333	0.5	0.437000
5.916667	0.5	0.436450
5.925000	0.5	0.437150
5.933333	0.5	0.436250
5.941667	0.5	0.434450
5.950000	0.5	0.434450
5.958333	0.5	0.431950
5.966667	0.5	0.434000
5.975000	0.5	0.431650
5.983333	0.5	0.429200
5.991667	0.5	0.427000
6.000000	0.5	0.428350
6.008333	0.5	0.427850
6.016667	0.5	0.427100
6.025000	0.5	0.427400
6.033333	0.5	0.428250
6.041667	0.5	0.430050
6.050000	0.5	0.435800
6.058333	0.5	0.431800
6.066667	0.5	0.432550
6.075000	0.5	0.431250
6.083333	0.5	0.432400
6.091667	0.5	0.432900
6.100000	0.5	0.431350
6.108333	0.5	0.434950
6.116667	0.5	0.433500
6.125000	0.5	0.434200
6.133333	0.5	0.434700
6.141667	0.5	0.431350
6.150000	0.5	0.432300
6.158333	0.5	0.430350
6.166667	0.5	0.428850
6.175000	0.5	0.430250
6.183333	0.5	0.426750
6.191667	0.5	0.427000
6.200000	0.5	0.425500
6.208333	0.5	0.424250
6.216667	0.5	0.423000
6.225000	0.5	0.420700
6.233333	0.5	0.420100
6.241667	0.5	0.420300
6.250000	0.5	0.419750
6.258333	0.5	0.418750
6.266667	0.5	0.417300
6.275000	0.5	0.415900
6.283333	0.5	0.415400
6.291667	0.5	0.415400
6.300000	0.5	0.415750
6.308333	0.5	0.417600
6.316667	0.5	0.412400
6.325000	0.5	0.412100
6.333333	0.5	0.409150
6.341667	0.5	0.407850
6.350000	0.5	0.406550
6.358333	0.5	0.406250
6.366667	0.5	0.407950
6.375000	0.5	0.406950
6.383333	0.5	0.407550
6.391667	0.5	0.407500
6.400000	0.5	0.405700
6.408333	0.5	0.405500
6.416667	0.5	0.404500
6.425000	0.5	0.402150
6.433333	0.5	0.403350
6.441667	0.5	0.401550
6.450000	0.5	0.401100
6.458333	0.5	0.400250
6.466667	0.5	0.398750
6.475000	0.5	0.401550
6.483333	0.5	0.399900
6.491667	0.5	0.401950
6.500000	0.5	0.401600
6.508333	0.5	0.402700
