Samples	water	D-St6	D-St7	D-St8	D-St9
25.383	-0.9113	-0.44695	-0.542	-1.00515	-0.56875
25.392	-0.91045	-0.44785	-0.5434	-1.00475	-0.56865
25.400	-0.91255	-0.4469	-0.5436	-1.0069	-0.56845
25.408	-0.91115	-0.44965	-0.5447	-1.00445	-0.5693
25.417	-0.91015	-0.45105	-0.5468	-1.007	-0.5713
25.425	-0.9118	-0.4546	-0.5478	-1.00785	-0.5719
25.433	-0.9157	-0.45595	-0.54915	-1.007	-0.5721
25.442	-0.9156	-0.457	-0.551	-1.00695	-0.57365
25.450	-0.9171	-0.4599	-0.5516	-1.00915	-0.57335
25.458	-0.91415	-0.46345	-0.5507	-1.01155	-0.5743
25.467	-0.9168	-0.46665	-0.55305	-1.0121	-0.5704
25.475	-0.9166	-0.46825	-0.55605	-1.0116	-0.5722
25.483	-0.91595	-0.4707	-0.556	-1.01375	-0.5733
25.492	-0.9156	-0.47225	-0.5569	-1.0148	-0.5715
25.500	-0.9135	-0.47445	-0.55745	-1.0159	-0.57365
25.508	-0.9134	-0.47545	-0.5583	-1.02005	-0.5754
25.517	-0.9146	-0.4763	-0.5592	-1.02105	-0.5751
25.525	-0.9156	-0.47915	-0.562	-1.0215	-0.5759
25.533	-0.91635	-0.4808	-0.5631	-1.02195	-0.57535
25.542	-0.9163	-0.48255	-0.56325	-1.025	-0.57585
25.550	-0.9167	-0.484	-0.56455	-1.0244	-0.57735
25.558	-0.9176	-0.4874	-0.5684	-1.0269	-0.5779
25.567	-0.9165	-0.4899	-0.567	-1.02775	-0.5792
25.575	-0.9202	-0.4906	-0.5649	-1.0285	-0.581
25.583	-0.91955	-0.49235	-0.56515	-1.02985	-0.57985
25.592	-0.9188	-0.49355	-0.566	-1.0292	-0.5792
25.600	-0.9191	-0.4953	-0.56605	-1.02975	-0.58085
25.608	-0.9217	-0.4966	-0.5658	-1.03185	-0.5811
25.617	-0.9199	-0.49835	-0.5667	-1.0336	-0.58075
25.625	-0.9203	-0.49905	-0.56655	-1.0339	-0.58195
25.633	-0.92245	-0.49765	-0.56885	-1.03495	-0.5807
25.642	-0.92255	-0.49975	-0.5689	-1.03535	-0.58185
25.650	-0.9217	-0.49755	-0.5683	-1.0358	-0.5817
25.658	-0.9234	-0.4964	-0.56695	-1.0332	-0.57725
25.667	-0.9217	-0.4969	-0.56685	-1.03295	-0.5815
25.675	-0.9209	-0.49315	-0.56745	-1.03275	-0.58345
25.683	-0.9227	-0.4931	-0.5668	-1.0331	-0.5829
25.692	-0.92405	-0.49075	-0.56605	-1.0318	-0.58295
25.700	-0.9248	-0.4878	-0.5645	-1.0311	-0.5823
25.708	-0.9255	-0.48475	-0.56335	-1.0321	-0.58345
25.717	-0.9252	-0.4852	-0.56345	-1.0316	-0.58135
25.725	-0.92535	-0.4832	-0.56235	-1.0303	-0.58215
25.733	-0.92595	-0.4789	-0.56045	-1.0291	-0.5797
25.742	-0.9233	-0.47635	-0.5582	-1.0272	-0.58035
25.750	-0.9245	-0.4733	-0.5564	-1.02885	-0.5808
25.758	-0.92435	-0.4684	-0.5559	-1.0277	-0.5796
25.767	-0.92305	-0.46375	-0.5522	-1.026	-0.5802
25.775	-0.9251	-0.46085	-0.55055	-1.02865	-0.5798
25.783	-0.9241	-0.4595	-0.55425	-1.02715	-0.57835
25.792	-0.925	-0.45595	-0.5535	-1.0271	-0.57945
25.800	-0.92525	-0.4543	-0.55265	-1.02415	-0.57915
25.808	-0.92485	-0.45165	-0.55045	-1.02455	-0.58025
25.817	-0.92515	-0.45145	-0.55295	-1.02415	-0.58075
25.825	-0.9262	-0.4492	-0.55205	-1.0224	-0.5788
25.833	-0.92675	-0.4489	-0.54795	-1.0206	-0.578
25.842	-0.9273	-0.44965	-0.54945	-1.0224	-0.579
25.850	-0.92885	-0.4518	-0.54995	-1.0222	-0.5806
25.858	-0.92775	-0.4524	-0.5503	-1.01975	-0.57965
25.867	-0.92805	-0.45645	-0.5514	-1.0226	-0.5811
25.875	-0.9289	-0.4558	-0.5537	-1.0231	-0.58275
25.883	-0.92875	-0.4587	-0.5559	-1.0247	-0.5835
25.892	-0.9296	-0.46305	-0.5576	-1.0262	-0.58205
25.900	-0.9296	-0.4672	-0.5601	-1.02645	-0.5814
25.908	-0.93005	-0.47165	-0.5605	-1.02905	-0.5836
25.917	-0.92915	-0.47455	-0.5625	-1.02905	-0.58235
25.925	-0.92885	-0.4796	-0.56565	-1.0309	-0.5849
25.933	-0.92895	-0.4854	-0.5684	-1.03225	-0.5875
25.942	-0.93075	-0.4916	-0.5716	-1.03315	-0.587
25.950	-0.93275	-0.49555	-0.574	-1.03295	-0.5877
25.958	-0.93205	-0.4969	-0.5767	-1.0362	-0.58815
25.967	-0.93245	-0.5036	-0.57805	-1.0378	-0.5883
25.975	-0.93215	-0.51025	-0.57985	-1.04065	-0.588
25.983	-0.93325	-0.51435	-0.5829	-1.0424	-0.588
25.992	-0.9299	-0.51735	-0.583	-1.04395	-0.58795
26.000	-0.9308	-0.52095	-0.58465	-1.04655	-0.58815
26.008	-0.9298	-0.5265	-0.58525	-1.0484	-0.5884
26.017	-0.932	-0.5247	-0.587	-1.052	-0.5903
26.025	-0.93095	-0.5274	-0.58565	-1.05195	-0.5894
26.033	-0.93085	-0.52955	-0.58815	-1.05445	-0.59015
26.042	-0.9312	-0.53185	-0.59	-1.0564	-0.59
26.050	-0.9329	-0.53505	-0.59115	-1.05745	-0.5913
26.058	-0.93	-0.53495	-0.59035	-1.0584	-0.59215
26.067	-0.93015	-0.5356	-0.5917	-1.05795	-0.59015
26.075	-0.93025	-0.53685	-0.59055	-1.0601	-0.594
26.083	-0.93295	-0.53565	-0.58975	-1.0614	-0.59355
26.092	-0.9326	-0.5341	-0.5881	-1.0603	-0.5927
26.100	-0.93465	-0.5327	-0.5858	-1.06	-0.5925
26.108	-0.93695	-0.5313	-0.5851	-1.0575	-0.5946
26.117	-0.9359	-0.5291	-0.58205	-1.05745	-0.5936
26.125	-0.9347	-0.5248	-0.5806	-1.05725	-0.59195
26.133	-0.93455	-0.5199	-0.578	-1.0564	-0.5922
26.142	-0.9345	-0.51495	-0.57485	-1.05665	-0.59175
26.150	-0.93505	-0.509	-0.57165	-1.05195	-0.59155
26.158	-0.93345	-0.4992	-0.566	-1.05265	-0.5913
26.167	-0.93135	-0.4908	-0.5614	-1.0464	-0.58665
26.175	-0.9317	-0.47945	-0.55765	-1.04225	-0.58855
26.183	-0.9308	-0.47035	-0.55205	-1.0381	-0.5901
26.192	-0.9291	-0.45615	-0.5463	-1.0324	-0.58855
26.200	-0.9305	-0.4414	-0.5389	-1.0275	-0.5864
26.208	-0.93265	-0.4258	-0.53175	-1.02085	-0.58465
26.217	-0.93135	-0.41155	-0.52385	-1.01585	-0.5821
26.225	-0.93095	-0.396	-0.51615	-1.0123	-0.58055
26.233	-0.92855	-0.37915	-0.50875	-1.0049	-0.5761
26.242	-0.92755	-0.3623	-0.5007	-0.998	-0.5751
26.250	-0.9252	-0.34525	-0.49305	-0.9919	-0.5713
26.258	-0.9241	-0.32855	-0.4875	-0.98385	-0.57
26.267	-0.9231	-0.31045	-0.4791	-0.9779	-0.56485
26.275	-0.9208	-0.29285	-0.47135	-0.9708	-0.56425
26.283	-0.9221	-0.27515	-0.4644	-0.96535	-0.5642
26.292	-0.92215	-0.26145	-0.4604	-0.96085	-0.5627
26.300	-0.92115	-0.2481	-0.4568	-0.95225	-0.5611
26.308	-0.9224	-0.234	-0.45425	-0.9458	-0.55775
26.317	-0.9218	-0.2284	-0.45105	-0.9411	-0.5573
26.325	-0.9218	-0.22105	-0.44955	-0.939	-0.5587
26.333	-0.9214	-0.21645	-0.44915	-0.93505	-0.55765
26.342	-0.92195	-0.21625	-0.4478	-0.9324	-0.56055
26.350	-0.92315	-0.21615	-0.4483	-0.92995	-0.55985
26.358	-0.9241	-0.21895	-0.45045	-0.9284	-0.55835
26.367	-0.9239	-0.2269	-0.454	-0.92915	-0.55875
26.375	-0.9257	-0.23605	-0.4595	-0.9301	-0.5594
26.383	-0.92745	-0.2466	-0.46495	-0.936	-0.5618
26.392	-0.9281	-0.25795	-0.4749	-0.9407	-0.5616
26.400	-0.9275	-0.2723	-0.48105	-0.9453	-0.56425
26.408	-0.9284	-0.2888	-0.4863	-0.9521	-0.565
